bits,8-bit,16-bit,32-bit,64-bit
128,11,5,3,2
256,13,7,5,3
512,26,14,8,5
1024,52,27,16,10
2048,103,54,31,18
4096,227,102,57,34
8192,412,210,113,68
16384,823,423,242,136
32768,1661,850,465,275
